condition,replicate,major_category,label,category_n,feature,observed,expected,lift,z_score,empirical_p
category_name_masked,0,ヤマノカミ,Yama-no-kami,722,strict_boundary_interface,155,187.432,0.82697,-3.0222,0.00399
category_name_masked,0,イヌガミ,Inugami,552,hydrology,39,105.046,0.37127,-7.6401,0.002
category_name_masked,0,イヌガミ,Inugami,552,mobility,112,91.96,1.21792,2.2648,0.01796
category_name_masked,0,イヌガミ,Inugami,552,boundary,64,99.556,0.64285,-4.1728,0.002
category_name_masked,0,イヌガミ,Inugami,552,livelihood,82,102.506,0.79995,-2.2737,0.01397
category_name_masked,0,イヌガミ,Inugami,552,dwelling,202,134.904,1.49736,6.4492,0.002
category_name_masked,0,イヌガミ,Inugami,552,death_ritual,47,72.308,0.65,-3.1751,0.002
category_name_masked,0,イヌガミ,Inugami,552,taboo_time_weather,97,117.554,0.82515,-2.2643,0.01198
category_name_masked,0,イヌガミ,Inugami,552,actors,111,144.552,0.76789,-3.3969,0.002
category_name_masked,0,イヌガミ,Inugami,552,actions,29,59.306,0.48899,-4.4711,0.002
category_name_masked,0,イヌガミ,Inugami,552,strict_boundary_interface,125,145.638,0.85829,-2.0505,0.01996
category_name_masked,0,ネコ,Neko,466,hydrology,52,94.434,0.55065,-5.0523,0.002
category_name_masked,0,ネコ,Neko,466,mobility,54,80.014,0.67488,-3.3617,0.00399
category_name_masked,0,ネコ,Neko,466,boundary,84,87.956,0.95502,-0.4726,0.33733
category_name_masked,0,ネコ,Neko,466,livelihood,52,94.346,0.55116,-5.0796,0.002
category_name_masked,0,ネコ,Neko,466,dwelling,137,120.552,1.13644,1.7446,0.0499
category_name_masked,0,ネコ,Neko,466,death_ritual,155,60.45,2.5641,13.5413,0.002
category_name_masked,0,ネコ,Neko,466,taboo_time_weather,117,101.93,1.14785,1.743,0.04192
category_name_masked,0,ネコ,Neko,466,actors,98,129.808,0.75496,-3.2119,0.002
category_name_masked,0,ネコ,Neko,466,actions,42,46.094,0.91118,-0.6166,0.28942
category_name_masked,0,ネコ,Neko,466,strict_boundary_interface,115,126.778,0.9071,-1.2562,0.11776
category_name_masked,0,ヒノタマ,Hitodama,249,hydrology,35,48.186,0.72635,-2.1847,0.02794
category_name_masked,0,ヒノタマ,Hitodama,249,mobility,34,42.792,0.79454,-1.494,0.08782
category_name_masked,0,ヒノタマ,Hitodama,249,boundary,58,44.868,1.29268,2.0788,0.02794
category_name_masked,0,ヒノタマ,Hitodama,249,livelihood,25,46.758,0.53467,-3.4065,0.00599
category_name_masked,0,ヒノタマ,Hitodama,249,dwelling,58,60.27,0.96234,-0.3417,0.39721
category_name_masked,0,ヒノタマ,Hitodama,249,death_ritual,52,33.97,1.53076,3.4061,0.002
category_name_masked,0,ヒノタマ,Hitodama,249,taboo_time_weather,80,52.666,1.51901,4.3077,0.002
category_name_masked,0,ヒノタマ,Hitodama,249,actors,37,66.53,0.55614,-4.2841,0.002
category_name_masked,0,ヒノタマ,Hitodama,249,actions,48,29.744,1.61377,3.8916,0.002
category_name_masked,0,ヒノタマ,Hitodama,249,strict_boundary_interface,66,66.298,0.99551,-0.0424,0.501
interface_broad,0,その他,Other,19084,hydrology,3497,3945.194,0.88639,-12.185,0.002
interface_broad,0,その他,Other,19084,mobility,3101,3242.3,0.95642,-4.3299,0.002
interface_broad,0,その他,Other,19084,boundary,3838,3539.21,1.08442,9.1159,0.002
interface_broad,0,その他,Other,19084,livelihood,3612,3703.852,0.9752,-2.6,0.00599
interface_broad,0,その他,Other,19084,dwelling,4873,4750.984,1.02568,3.0832,0.002
interface_broad,0,その他,Other,19084,death_ritual,2692,2831.992,0.95057,-4.5766,0.002
interface_broad,0,その他,Other,19084,taboo_time_weather,4061,4116.73,0.98646,-1.4957,0.07385
interface_broad,0,その他,Other,19084,actors,5044,5264.362,0.95814,-5.6763,0.002
